pr_id,pr_number,pr_html_url,title,state,is_draft,user_login,repo_full_name,base_branch,head_branch,created_at,updated_at,closed_at,merged_at,matched_keywords,body_snippet,comments,review_comments,commits,additions,deletions,changed_files,mergeable_state
1582159992,1014,https://github.com/3dem/relion/pull/1014,Quick update for MPI collective block size and minor SYCL document update,closed,False,do-jason,3dem/relion,master,qfix_mpi_block,2023-11-01T06:54:27Z,2023-11-01T11:03:59Z,2023-11-01T06:55:10Z,,performance,"This will update default MPI block size only when ""-DUSE_MPI_COLLECTIVE"" is enabled. This is default for ALTCPU and SYCL. It has no impact when ""-DUSE_MPI_COLLECTIVE"" is not set.
The default 512MB for MPI collective may increase file descriptor usage and result in error or lower performance at multi-node scale. I've erroneously committed in ""relion-devel"" branch without PR, sorry about that.",1,0,588,43680,15042,311,unknown
1582163855,1015,https://github.com/3dem/relion/pull/1015,Change MPI block size and minor SYCL document update,closed,False,do-jason,3dem/relion,ver5.0,qfix_mpi_block,2023-11-01T06:58:24Z,2023-11-01T11:03:58Z,2023-11-01T07:34:15Z,2023-11-01T07:34:15Z,performance,"This will update default MPI block size only when ""-DUSE_MPI_COLLECTIVE"" is enabled. This is default for ALTCPU and SYCL. It has no impact when ""-DUSE_MPI_COLLECTIVE"" is not set.
The default 512MB for MPI collective may increase file descriptor usage and result in error or lower performance at multi-node scale.

I've erroneously committed in ""relion-devel"" branch without PR and there is closed ",1,0,1,5,5,2,unknown
1623380251,1039,https://github.com/3dem/relion/pull/1039,Implemented memory pool for SYCL device/host memory,closed,False,do-jason,3dem/relion,ver5.0,sycl_memory_pool,2023-11-30T10:13:41Z,2023-12-04T03:00:04Z,2023-12-04T02:59:47Z,2023-12-04T02:59:47Z,performance,"Implemented memory pool for SYCL device/host memory. (added src/acc/sycl/sycl_memory_pool.*)
- All except ZE_* and ZEX_* environment variables are not necessary.
- Now ""ulimit -n"" is not necessary in most cases.

Tuned SYCL kernel workgroup size.
- Showed significant improvement in 2D classification performance.

Fixed AccPtr host memory leak in PassWeights.weights.  (src/acc/acc_ml_optimis",5,0,5,857,209,27,unknown
2196667654,1207,https://github.com/3dem/relion/pull/1207,Updated double precision constant divisions in helix.cpp,closed,False,Arpan3323,3dem/relion,ver5.0,patch-2,2024-11-24T08:27:34Z,2024-11-24T09:37:50Z,2024-11-24T09:37:50Z,2024-11-24T09:37:50Z,optimiz,"Hi, I noticed some double precision constant divisions in helix.cpp and saw room for potential efficiency improvement as divisions are generally more expensive.
  
### What is changed?
- Updated multiple occurrences of division by a constant double to multiplication by a constant double
- The updates are of this nature: `some_double_precision_number / 2.` to `some_double_precision_number * 0.5",1,0,1,70,70,1,unknown
2436011709,1258,https://github.com/3dem/relion/pull/1258,CPU kernel patch for oneAPI compiler performance workaround and code refactoring,closed,False,do-jason,3dem/relion,ver5.0,intel_opt,2025-04-03T05:49:27Z,2025-04-03T07:09:54Z,2025-04-03T07:09:46Z,2025-04-03T07:09:46Z,performance,"Add macro function to replace inline function (TRANSLATE_PIXEL_2D, TRANSLATE_PIXEL_3D)
Add ""USE_SINCOS_TABLE"" macro to CPU acceleration code for alternative code path
Add ""#pragma forceinline"" for project2Dmodel/project3Dmodel functions
Add alignas in CPU kernel function's arrays
Add ""#if _OPENMP"" to protect ""#pragma omp simd"" pragmas from old compiler
Add ""#pragma omp simd simdlen"" for some ",5,0,14,1691,2205,13,unknown
2444779899,1259,https://github.com/3dem/relion/pull/1259,SYCL optimization for cache friendly data structure,closed,False,do-jason,3dem/relion,ver5.0,intel_opt,2025-04-08T03:43:15Z,2025-04-08T04:54:46Z,2025-04-08T04:54:46Z,2025-04-08T04:54:46Z,optimiz | optimization,"- Merge mdlReal and mdlImag to a single array with doubled size for cache efficient access
- Make required change and some cleanups for this mdlReal/mdlImag to mdlComplex in the required files in src/acc/ directory
- Change no_tex2D and no_tex3D to this mdlReal and mdlImag merging optimization (src/acc/sycl/sycl_kernels/sycl_utils.h)
- Remove unused complex2D and complex3D
- Change the locatio",1,0,2,136,235,5,unknown
380378089,581,https://github.com/3dem/relion/pull/581,"Fix timers, optimize two kernels, fixed issue with pixel coordinate calculation",closed,False,arom4github,3dem/relion,nvidia-optim2,optim2,2020-02-26T16:21:30Z,2020-03-06T14:45:48Z,2020-02-28T12:35:27Z,2020-02-28T12:35:27Z,optimiz,it's safer to use `blockDim.x` instead of a predefined constant.,2,0,1,28,56,2,dirty
483168390,671,https://github.com/3dem/relion/pull/671,Devel altcpu 2dopt,closed,False,CharlesCongdon,3dem/relion,ver3.1,devel-altcpu-2dopt,2020-09-09T22:14:08Z,2020-09-16T14:56:18Z,2020-09-16T14:56:18Z,2020-09-16T14:56:18Z,optimiz | optimization,Merge latest  altcpu optimizations into 3.1,1,0,16,565,498,10,unknown
489142339,678,https://github.com/3dem/relion/pull/678,PORT: bring FFT stuff to GPU for backprojection,closed,False,arom4github,3dem/relion,ver3.1,optim5,2020-09-18T07:49:33Z,2022-09-09T10:41:46Z,2022-09-09T10:41:35Z,,optimiz,this PR brings cuFFT for the `back-projection` stage. We also optimized data locality and removed some redundant sync points.,2,0,1,566,35,10,unknown
680794863,783,https://github.com/3dem/relion/pull/783,Support for disabling and tuning stream buffers,closed,False,andschenk,3dem/relion,ver3.1,ver3.1,2021-06-30T11:45:04Z,2021-07-02T07:53:54Z,2021-07-02T02:17:25Z,,performance,"This patch adds support for tuning the size of the stream buffer for reading mrcs stacks in Relion.


Rationale for the patch:
When running Relion on large, network attached file systems it can show a very unfavorable caching behavior when reading particle stacks. With large Lustre and GPFS file systems we have seen that data requested through the network (IB in our case) can reach 10x the dat",6,0,1,27,6,1,unknown
1126943050,936,https://github.com/3dem/relion/pull/936,Adding HIP implementation,closed,False,suyashtn,3dem/relion,master,suyash/ver4.0-hip,2022-11-18T04:05:36Z,2023-11-01T07:34:51Z,2023-11-01T07:34:51Z,,optimiz | optimization,New port with AMD ROCm and HIP optimizations is implemented that allows RELION 4 to be executed on A+A hardware with AMD Instinct GPUs. Branch `suyash/ver4.0-hip` from `suyashtn/relion` has been rebased onto the `master` of `3dem/relion` and contains latest developments from the official repository. The HIP port has been tested and validated using plasmodium ribosome (2D/3D) and other benchmarks o,2,0,21,10036,732,60,unknown
3247055151,100,https://github.com/AK-Kleemiss/NoSpherA2/pull/100,speed up bessel_sfac,closed,False,FlorianKleemiss,AK-Kleemiss/NoSpherA2,master,tsc_cif,2026-02-04T18:55:03Z,2026-02-06T17:23:21Z,2026-02-06T17:23:20Z,2026-02-06T17:23:20Z,performance,"This pull request introduces several improvements and refactorings to the handling of Gaussian primitives and the calculation of scattering factors. The main focus is on improving normalization, ensuring consistency in calculations, and cleaning up the code for clarity and efficiency.

**Enhancements to Gaussian primitive normalization and usage:**

* Added new members to the `primitive` class",0,0,90,36,13,5,unknown
3307243220,107,https://github.com/AK-Kleemiss/NoSpherA2/pull/107,EMBIS and MBIS plus speed up,open,False,FlorianKleemiss,AK-Kleemiss/NoSpherA2,master,tsc_cif,2026-02-20T10:31:14Z,2026-03-04T19:53:40Z,,,performance,"This pull request introduces several improvements and refactors to the grid generation and partitioning logic, primarily focusing on enabling MBIS and EMBIS partitioning schemes, generalizing grid generation routines, and updating data structures for greater flexibility. The changes also include updates to compiler flags and Visual Studio paths for improved compatibility and performance.

Partit",5,6,146,6426,4272,59,unstable
2737033829,38,https://github.com/AK-Kleemiss/NoSpherA2/pull/38,deps: bump actions/cache from 4.2.3 to 4.2.4,closed,False,dependabot[bot],AK-Kleemiss/NoSpherA2,master,dependabot/github_actions/actions/cache-4.2.4,2025-08-11T22:08:25Z,2025-09-02T12:44:24Z,2025-08-12T21:42:58Z,2025-08-12T21:42:58Z,performance,"Bumps [actions/cache](https://github.com/actions/cache) from 4.2.3 to 4.2.4.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/cache/releases"">actions/cache's releases</a>.</em></p>
<blockquote>
<h2>v4.2.4</h2>
<h2>What's Changed</h2>
<ul>
<li>Update README.md by <a href=""https://github.com/nebuk89""><code>@​nebuk89</code></a> in <a href=""https://red",0,0,1,14,14,3,unknown
2871542730,60,https://github.com/AK-Kleemiss/NoSpherA2/pull/60,deps: bump actions/cache from 4.2.4 to 4.3.0,closed,False,dependabot[bot],AK-Kleemiss/NoSpherA2,master,dependabot/github_actions/actions/cache-4.3.0,2025-09-29T18:00:47Z,2025-10-01T07:17:48Z,2025-09-29T19:45:53Z,2025-09-29T19:45:53Z,performance,"Bumps [actions/cache](https://github.com/actions/cache) from 4.2.4 to 4.3.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/cache/releases"">actions/cache's releases</a>.</em></p>
<blockquote>
<h2>v4.3.0</h2>
<h2>What's Changed</h2>
<ul>
<li>Add note on runner versions by <a href=""https://github.com/GhadimiR""><code>@​GhadimiR</code></a> in <a href",0,0,1,5,5,3,unknown
2890504222,63,https://github.com/AK-Kleemiss/NoSpherA2/pull/63,deps: bump actions/cache from 4.2.4 to 4.3.0,closed,False,dependabot[bot],AK-Kleemiss/NoSpherA2,master,dependabot/github_actions/actions/cache-4.3.0,2025-10-06T14:29:07Z,2025-10-26T20:31:04Z,2025-10-26T20:31:02Z,,performance,"Bumps [actions/cache](https://github.com/actions/cache) from 4.2.4 to 4.3.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/cache/releases"">actions/cache's releases</a>.</em></p>
<blockquote>
<h2>v4.3.0</h2>
<h2>What's Changed</h2>
<ul>
<li>Add note on runner versions by <a href=""https://github.com/GhadimiR""><code>@​GhadimiR</code></a> in <a href",1,0,1,2,2,1,unknown
3102513560,86,https://github.com/AK-Kleemiss/NoSpherA2/pull/86,deps: bump actions/cache from 4.2.4 to 5.0.1,closed,False,dependabot[bot],AK-Kleemiss/NoSpherA2,master,dependabot/github_actions/actions/cache-5.0.1,2025-12-15T13:24:30Z,2025-12-23T23:21:17Z,2025-12-15T20:02:07Z,2025-12-15T20:02:07Z,performance,"Bumps [actions/cache](https://github.com/actions/cache) from 4.2.4 to 5.0.1.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/cache/releases"">actions/cache's releases</a>.</em></p>
<blockquote>
<h2>v5.0.1</h2>
<blockquote>
<p>[!IMPORTANT]
<strong><code>actions/cache@v5</code> runs on the Node.js 24 runtime and requires a minimum Actions Runner vers",0,0,1,7,7,4,unknown
3122933089,89,https://github.com/AK-Kleemiss/NoSpherA2/pull/89,deps: bump github/codeql-action from 4.31.8 to 4.31.9,closed,False,dependabot[bot],AK-Kleemiss/NoSpherA2,master,dependabot/github_actions/github/codeql-action-4.31.9,2025-12-22T13:17:58Z,2026-01-31T22:27:44Z,2026-01-06T19:08:43Z,2026-01-06T19:08:43Z,performance,"Bumps [github/codeql-action](https://github.com/github/codeql-action) from 4.31.8 to 4.31.9.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/github/codeql-action/releases"">github/codeql-action's releases</a>.</em></p>
<blockquote>
<h2>v4.31.9</h2>
<h1>CodeQL Action Changelog</h1>
<p>See the <a href=""https://github.com/github/codeql-action/releases"">releas",0,0,1,9,9,3,unknown
3188281590,92,https://github.com/AK-Kleemiss/NoSpherA2/pull/92,deps: bump actions/cache from 5.0.1 to 5.0.2,closed,False,dependabot[bot],AK-Kleemiss/NoSpherA2,master,dependabot/github_actions/actions/cache-5.0.2,2026-01-19T15:42:36Z,2026-01-31T22:27:23Z,2026-01-27T17:29:39Z,2026-01-27T17:29:39Z,performance,"Bumps [actions/cache](https://github.com/actions/cache) from 5.0.1 to 5.0.2.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/cache/releases"">actions/cache's releases</a>.</em></p>
<blockquote>
<h2>v.5.0.2</h2>
<h1>v5.0.2</h1>
<h2>What's Changed</h2>
<p>When creating cache entries, 429s returned from the cache service will not be retried.</p>
</blo",0,0,1,6,6,3,unknown
436752520,1035,https://github.com/AMReX-Codes/amrex/pull/1035,Update HDF5 particle write and benchmark codes,closed,False,houjun,AMReX-Codes/amrex,development,development,2020-06-18T20:42:32Z,2020-06-18T22:53:06Z,2020-06-18T22:53:05Z,2020-06-18T22:53:05Z,performance,"- Fix MPI datatype issue
- Performance improvements on HDF5 particle write",0,0,8,205,74,5,unknown
444251520,1095,https://github.com/AMReX-Codes/amrex/pull/1095,CMake: More NVCC Controls,closed,False,ax3l,AMReX-Codes/amrex,development,topic-moreCUDAcmakeFlags,2020-07-04T07:25:18Z,2020-07-16T18:58:49Z,2020-07-16T18:58:44Z,2020-07-16T18:58:44Z,performance,"Add control for more debug and warning flags with NVCC.

- [x] ptx debug infos: performance neutral and good
- [x] compilation timer: useful for interactions with Nvidia engineers & compile-time tuning
- [x] keep files: good for inspecting generated PTX code
- [x] warnings: accidental capture of `this` (CUDA11+)
- [x] device LTO: awesome new feature to try (CUDA11+)
- [x] unknown flags: jus",0,7,2,172,8,2,unknown
138990178,110,https://github.com/AMReX-Codes/amrex/pull/110,optimization of IFFAB copy,closed,False,WeiqunZhang,AMReX-Codes/amrex,development,weiqun/iffabcopy,2017-09-01T23:48:38Z,2017-09-09T20:13:08Z,2017-09-02T02:40:57Z,2017-09-02T02:40:57Z,optimiz | optimization,,0,0,1,36,23,3,unknown
451541377,1154,https://github.com/AMReX-Codes/amrex/pull/1154,Optimization of TagBoxArray::collate,closed,True,WeiqunZhang,AMReX-Codes/amrex,development,tagbox_sumboundary,2020-07-17T23:19:41Z,2020-07-20T19:19:29Z,2020-07-20T19:19:21Z,,optimiz | optimization,"Use a new way to remove duplicated tags.  Instead of removing duplicated from vector, we remove
duplicates when tags are still stored in FabArray.  Because they are in FabArray with a BoxArray
that has no overlapped valid cells, we can use ParallelAdd to remove duplicates due to the overlap
of valid cells with ghost cells.

Assertion in AmrCore on blocking factor to make sure that there are n",0,0,1,72,194,4,unknown
453755905,1156,https://github.com/AMReX-Codes/amrex/pull/1156,Optimization of TagBoxArray::collate,closed,False,WeiqunZhang,AMReX-Codes/amrex,development,tagbox_collate,2020-07-20T19:20:07Z,2020-07-20T20:02:43Z,2020-07-20T20:02:36Z,2020-07-20T20:02:36Z,optimiz | optimization,"Use a new way to remove duplicated tags.  Instead of removing duplicated from vector, we remove
duplicates when tags are still stored in FabArray.  Because they are in FabArray with a BoxArray
that has no overlapped valid cells, we can use ParallelAdd to remove duplicates due to the overlap
of valid cells with ghost cells.

Assertion in AmrCore on blocking factor to make sure that there are n",0,0,1,136,245,6,unknown
